wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
get down to,"v. 认真对待
 开始；着手；着手做"
moment,n. 片刻，瞬间，时刻；重要，契机
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
prosaic,adj. 平凡的，乏味的；散文体的
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
thoroughly,adv. 彻底地，完全地
hospitality,n. 好客；殷勤
elsewhere,adv. 在别处；到别处
kindness,n. 仁慈；好意；友好的行为
weekend,"n. 周末，周末休假；周末聚会
adj. 周末的，周末用的
vi. 度周末"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
surroundings,n. 环境；周围的事物
charming,"adj. 迷人的；可爱的
v. 使陶醉（charm的现在分词）"
no wonder, 难怪；怪不得；不足为奇
reciprocate,"vt. 报答；互换；互给
vi. 往复运动；互换；酬答；互给"
on behalf of,"na. 替；为…的利益
 代表；代表某人；以…名义"
be available for, 有效；可利用的；可供……利用
language,n. 语言；语言文字；表达能力
campus,n. （大学）校园；大学，大学生活；校园内的草地
cordially,adv. 诚挚地，诚恳地；友善地
January,n. 一月
invite,"n. 邀请
vt. 邀请，招待；招致"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
question and answer session, 问答环节；问答阶段；会议问答阶段
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
clean up,"na. 收拾干净；改正；赚厚利
 打扫；打扫干净；清除"
dissatisfaction,n. 不满；令人不满的事物
similarly,adv. 同样地；类似于
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
disappointing,"adj. 令人失望的；令人扫兴的
v. 令人失望（disappoint的ing形式）；辜负…的期望"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
extremely,adv. 非常，极其；极端地
five-star,adj. 五星级的；第一流的，最高级的
overprice,vt. 对…定价过高；定价高于…的购买力
on a daily basis, 每天；日常；每天都
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
therefore,adv. 因此；所以
receipt,"n. 收到；收据；收入
vt. 收到"
eat out,"v. 出去吃；在外面吃饭
 下馆子；出去吃饭；上馆子吃饭"
enclose,vt. 围绕；装入；放入封套
complaint,n. 抱怨；诉苦；疾病；委屈
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
in the future,"adv. 今后
 将来；在将来；在未来"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
greatly,adv. 很，大大地；非常
at your earliest convenience,"na. 务请从速
 尽早；在你方便时尽早；你最方便的时候"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
professor,n. 教授；教师；公开表示信仰的人
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
feedback,n. 反馈；成果，资料；回复
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
memorable,adj. 显著的，难忘的；值得纪念的
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
handout,n. 散发材料（免费发给的新闻通报）；上课老师发的印刷品；文字资料 	（会议上分发的）；施舍物
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
take down,"na. 扯下；卷起；记下；卸下
 拿下；取下；拆卸"
informative,adj. 教育性的，有益的；情报的；见闻广博的
discussion,n. 讨论，议论
inspiring,"v. 鼓舞；激发；使感悟（inspire的ing形式）
adj. 鼓舞人心的；灌输的；启发灵感的"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
suitable,adj. 适当的；相配的
demonstrate,"vt. 证明；展示；论证
vi. 示威"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
deepen,"vt. 使加深；使强烈；使低沉
vi. 变深；变低沉"
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
look forward to,"na. 盼望
 期待；期望；期盼"
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
increasingly,adv. 越来越多地；渐增地
additional,adj. 附加的，额外的
in addition,"na. 加之
 另外；此外；又"
computer room,"un. 计算机机房；计算机室
 电脑室；计算机教室；计算机房"
lecture note,找不到解释
request,"n. 请求；需要
vt. 要求，请求"
lab,n. 实验室，研究室
install,vt. 安装；任命；安顿
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
prestigious,adj. 有名望的；享有声望的
life story,"n. 生平事迹
 生命故事；生活故事；人生故事"
celebrity,n. 名人；名声
disciple,n. 门徒，信徒；弟子
Confucius,n. 孔子（中国哲学家，教育家）
the Analects, 论语；论语集；品味国学
thinker,n. 思想家；思想者
enduring,"adj. 持久的；能忍受的
v. 忍耐（endure的ing形式）"
educator,n. 教育家；教育工作者；教师
long-standing,adj. 长期存在的；存在已久的
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
inner world,"na. 内心世界
 内在世界；精神世界；里面的世界"
Confucianism,n. 孔子学说；儒家思想
Confucian thought,找不到解释
sage,"n. 圣人；贤人；哲人
adj. 明智的；贤明的；审慎的"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
the Spring and Autumn Period,找不到解释
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
human value, 人的价值；人类价值；人类的价值
congratulation,n. 祝贺；贺辞
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
receive,"vt. 收到；接待；接纳
vi. 接收"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
doctorate,n. 博士学位；博士头衔
success,n. 成功，成就；胜利；大获成功的人或事物
philosophy,n. 哲学；哲理；人生观
undertake,vt. 承担，保证；从事；同意；试图
Yale University,"n. 耶鲁大学
 美国耶鲁大学；毕业于美国耶鲁大学；康涅狄格州"
no doubt,"na. 无疑地；很可能
 毫无疑问；必定；不要怀疑合唱团"
hard work,"na. 难苦的工作
 努力工作；艰苦的工作；勤奋"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
on your part,找不到解释
certainly,adv. 当然；行（用于回答）；必定
achievement,n. 成就；完成；达到；成绩
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
be proud of,"na. 以…自豪
 为…自豪；骄傲；以……为骄傲"
think over,"v. 仔细考虑
 仔细思考；仔细考虑一下；再三考虑"
information,n. 信息，资料；知识；情报；通知
kindly,"adv. 亲切地；温和地；仁慈地
adj. 亲切的；和蔼的；体贴的；爽快的"
package tour,"n. 包价旅游（费用固定、一切由旅行社代办的度假旅游）
 跟团旅游；套装行程；包办旅行"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
include,vt. 包含，包括
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
length,n. 长度，长；时间的长短；（语）音长
in fact,"na. 事实上；总之
 实际上；其实；实则"
customer,n. 顾客；家伙
be interested in,"v. 对…感兴趣
 对……感兴趣；对某方面感兴趣；对……有兴趣"
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
destination,n. 目的地，终点
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
travel insurance,"un. 旅游保险
 旅行保险；旅游平安保险；旅游平安险"
archaeology,"n. 考古学
考古学的"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
specialised,"adj. 专门的；特别的（等于specialized）
v. 使专门化；专攻；详细说明（specialise的过去分词）"
separately,adv. 分别地；分离地；个别地
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
at the same time,"na. 同时；另一方面；与此同时
 然而；在同时；可是"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
unfortunately,adv. 不幸地
look forward to,"na. 盼望
 期待；期望；期盼"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
be able to,"v. 能够
 会；有能力做某事；强调有能力"
infection,n. 感染；传染；影响；传染病
inform sb. of sth.,找不到解释
require,vt. 需要；要求；命令
situation,n. 情况；形势；处境；位置
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
sense of responsibility, 责任感；责任心；责任意识
serve as,"v. 用作；充当
 作为；担任；当作"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
platform,n. 平台；月台，站台；坛；讲台
interpersonal relation,人际关系
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
various,adj. 各种各样的；多方面的
ability,n. 能力，能耐；才能
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
proficiency,n. 精通，熟练
a range of,"det. 一大片；一排
 一系列；一些；一系列的"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
be involved in,"na. 被包入；被卷入漩涡
 参与；涉及；介入"
empower,vt. 授权，允许；使能够
a variety of,"det. 种种；形形色色
 各种各样的；多种多样的；多种的"
decided,"vt. 决定（decide的过去式）
adj. 明确的；显然的；坚决的，果断的"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
competitive,adj. 竞争的；比赛的；求胜心切的
musical drama,音乐剧
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
group discussion,"n. 小组讨论
 分组讨论；团体讨论；集体讨论"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
ample,adj. 丰富的；足够的；宽敞的
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
written application,"un. 书面申请
 正式书面申请；书面正式专利；正式申请书"
participation,n. 参与；分享；参股
staff office, 医护办公室；职员办公室；技术员办公室
be helpful to,"v. 有助于；对…有
 对……有益处；对…有帮助；对……是有帮助的"
deadline,n. 截止期限，最后期限
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
sign up,"na. 同“sign”
 注册；报名；签约"
symbolically,adv. 象征性地；象征意义地
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
physical fitness,"n. 肌力与体能训练
 体适能；身体适能；身体健康"
white gown, 雪白长裙；她穿的是白色长款礼服；新娘须着雪白长裙
mental health,"un. 心理卫生；精神卫生
 心理健康；精神健康；身心健康"
stethoscope,"n.  听诊器
vt. 用听诊器诊断"
adversity,n. 逆境；不幸；灾难；灾祸
medical record,"un. 病历；医案
 病历卡；病案；医疗记录"
pull through,"na. 恢复健康；痊愈；渡过难关
 度过难关；渡过危机；度过危机"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
pain and sorrow,找不到解释
apparently,adv. 显然地；似乎，表面上
twists and turns,"na. 迂回曲折；曲折复杂的情况
 一波三折；周折；迂回曲折之处"
do physical exercises,找不到解释
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
vigorous,adj. 有力的；精力充沛的
respectively,adv. 分别地；各自地，独自地
stay up,"na. 不去睡觉；不沉
 熬夜；不睡觉；熬夜，不睡觉"
energetic,adj. 精力充沛的；积极的；有力的
be harmful to, 对…有害；对…有危害；对……是有害的
form good habits,找不到解释
persistent,adj. 固执的，坚持的；持久稳固的
to sum up, 总之；概括地说；总之，总而言之
balanced diet,"na. (营养)均衡的食谱
 平衡膳食；均衡膳食；均衡饮食"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
sufficient sleep,找不到解释
plagiarize,"vt. 剽窃；抄袭
vi. 剽窃；抄袭"
unfair,adj. 不公平的，不公正的
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
reputation,n. 名声，名誉；声望
in an attempt to,"un. 未遂罪；设法；从而
 试图；力图；企图"
worth,"n. 价值；财产
adj. 值…的"
propel,vt. 推进；驱使；激励；驱策
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
laziness,n. 怠惰；无精打采
dishonest,adj. 不诚实的；欺诈的
lack of,"v. 缺乏
 缺少；不足；不够"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
self-confidence,n. 自信
prevalent,adj. 流行的；普遍的，广传的
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
combination,n. 结合；组合；联合； 化合
higher education,"n. （尤指达到学位水平的）高等教育
 高等教育学；高等教育课程；高教"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
information,n. 信息，资料；知识；情报；通知
respectively,adv. 分别地；各自地，独自地
eventually,adv. 最后，终于
plagiarism,n. 剽窃；剽窃物
news media, 新闻媒体；新闻媒介；新闻传媒
adversely,adv. 不利地；逆地；反对地
community,n. 社区； 群落；共同体；团体
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
at large,"na. 随便；拉杂地
 逍遥法外；在逃；未被捕获的"
perpetrator,n. 犯罪者；作恶者；行凶者
in short,"na. 简单地说；总之
 简言之；简而言之；总而言之"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
deceitful,adj. 欺骗的；欺诈的；谎言的；虚伪的
for instance,"na. 例如
 比如；举例说；举例来说"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
extremely,adv. 非常，极其；极端地
habitual,adj. 习惯的；惯常的；习以为常的
unjust,adj. 不公平的，不公正的；非正义的
dishonesty,n. 不诚实；欺诈；不正直
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
facet,"n. 面；方面；小平面
vt. 在…上琢面"
hard-working,adj. 勤勉的；勤奋的；勤劳的
vividly,adv. 生动地；强烈地
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
sunflower,n. 向日葵
furthermore,adv. 此外；而且
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
