connection,n. 连接；关系；人脉；连接件
determination,n. 决心；果断；测定
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
good looks,"n. 漂亮的外表；美貌
 好相貌；姿色；美丽的容颜"
good luck,"na. 幸运
 祝你好运；祝好运；好运气"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
résumé,
self-confidence,n. 自信
eventually,adv. 最后，终于
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
lead to,"na. 通向
 导致；引起；通往"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
Antarctica,n. 南极洲
accomplishment,n. 成就；完成；技艺，技能
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
hardship,n. 困苦；苦难；艰难险阻
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
vibe,n. 气氛，氛围
vindicate,vt. 维护；证明…无辜；证明…正确
consumerism,n. 保护消费者利益运动；用户至上主义
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
gram,n. 克；鹰嘴豆（用作饲料）
incredibly,adv. 难以置信地；非常地
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
consumer,n. 消费者；用户，顾客
jewelry,n. 珠宝；珠宝类
marketplace,n. 市场；商场；市集
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
the globe, 地球；环球剧院；全球
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
cheeseburger,n. 牛肉饼；干酪汉堡包；杀伤炸弹
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
fossil fuel,"n. 化石燃料（如煤或石油）
 矿物燃料；石化燃料；化石能源"
methane,n.  甲烷； 沼气
metric ton,"adj. 公吨
 公制吨；公吨n；公顿"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
art gallery,"n. 美术馆；艺术展览馆
 画廊；艺术画廊；艺廊"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
incredible,adj. 难以置信的，惊人的
life cycle,"n. 生命周期；寿命（产品等从开发到使用完毕的一段时间）
 生活史；寿命周期；生活周期"
