enable,vt. 使能够，使成为可能；授予权利或方法
recognise,vt. 认出；承认，认可；识别
recreation,n. 娱乐；消遣；休养
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
reservation,n. 预约，预订；保留
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
proclaim,vt. 宣告，公布；声明；表明；赞扬
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
repetition,n. 重复；背诵；副本
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
rehearsal,n. 排演；预演；练习；训练；叙述
performance,n. 性能；绩效；表演；执行；表现
authority,n. 权威；权力；当局
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identity,n. 身份；同一性，一致；特性；恒等式
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
deserve,"vi. 应受，应得
vt. 应受，应得"
breakthrough,n. 突破；突破性进展
interpret,"vi. 解释；翻译
vt. 说明；口译"
interpretation,n. 解释；翻译；演出
translation,n. 翻译；译文；转化；调任
commentary,n. 评论；注释；评注；说明
judgment,n. 判断；裁判；判决书；辨别力
judgement,n. 意见；判断力； 审判；评价
jury,"n.  陪审团；评判委员会
adj. 应急的"
justice,n. 司法，法律制裁；正义；法官，审判员
judicial,adj. 公正的，明断的；法庭的；审判上的
sue,"vt. 控告；请求
vi. 控告；提出请求"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
evident,adj. 明显的；明白的
definite,adj. 一定的；确切的
doubtless,"adj. 无疑的；确定的
adv. 无疑地；确定地；大概，多半"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
obvious,adj. 明显的；显著的；平淡无奇的
apparent,adj. 显然的；表面上的
transparent,adj. 透明的；显然的；坦率的；易懂的
appearance,n. 外貌，外观；出现，露面
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
arise,vi. 出现；上升；起立
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
currency,n. 货币；通货
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
surroundings,n. 环境；周围的事物
circumstance,n. 环境，情况；事件；境遇
environment,n. 环境，外界
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
urgent,adj. 紧急的；急迫的
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
enquire,"vi. 询问；调查；问候（等于inquire）
vt. 询问；打听"
investigate,v. 调查；研究
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
distract,vt. 转移；分心
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
exert,vt. 运用，发挥；施以影响
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
displace,vt. 取代；置换；转移；把…免职；排水
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
conceal,vt. 隐藏；隐瞒
retain,vt. 保持；雇；记住
retention,n. 保留；扣留，滞留；记忆力；闭尿
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
setback,n. 挫折；退步；逆流
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
output,"n. 输出，输出量；产量；出产
vt. 输出"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
shear,"n.  切变；修剪；大剪刀
vi. 剪；剪切；修剪
vt. 剪；修剪；剥夺"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
transition,n. 过渡；转变； 转换；变调
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
transaction,n. 交易；事务；办理；会报，学报
transit,"n. 运输；经过
vt. 运送
vi. 经过"
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
tempo,n. 速度，发展速度；拍子
transcend,vt. 胜过，超越
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
preclude,vt. 排除；妨碍；阻止
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
fierce,adj. 凶猛的；猛烈的；暴躁的
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
collaboration,n. 合作；勾结；通敌
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
constitute,vt. 组成，构成；建立；任命
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
ascribe,vt. 归因于；归咎于
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
inaugurate,vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
entitle,vt. 称做…；定名为…；给…称号；使…有权利
delegate,"n. 代表
vt. 委派…为代表"
portray,vt. 描绘；扮演
impart,vt. 给予（尤指抽象事物），传授；告知，透露
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
paralyze,vt. 使麻痹；使瘫痪
paralyse,vt. 使……无力；使……麻痹；使……瘫痪
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
disable,vt. 使失去能力；使残废；使无资格
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
credible,adj. 可靠的，可信的
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
crucial,adj. 重要的；决定性的；定局的；决断的
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
cumulative,adj. 累积的
satisfactory,adj. 满意的；符合要求的；赎罪的
satisfied,"v. 使满意（satisfy的过去式）
adj. 感到满意的"
terrific,adj. 极好的；极其的，非常的；可怕的
terrify,vt. 恐吓；使恐怖；使害怕
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
trivial,adj. 不重要的，琐碎的；琐细的
versatile,adj. 多才多艺的；通用的，万能的；多面手的
partial,adj. 局部的；偏爱的；不公平的
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
minimal,adj. 最低的；最小限度的
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
minimise,vt. 使缩到最小；成极小；求最小值
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
mourn,v. 哀悼；忧伤；服丧
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
immerse,vt. 沉浸；使陷入
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
emerge,vi. 浮现；摆脱；暴露
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
nourish,vt. 滋养；怀有；使健壮
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
nominate,vt. 推荐；提名；任命；指定
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
appease,vt. 使平息；使满足；使和缓；对…让步
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
prominent,adj. 突出的，显著的；杰出的；卓越的
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
considerable,adj. 相当大的；重要的，值得考虑的
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
notorious,adj. 声名狼藉的，臭名昭著的
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
responsible,adj. 负责的，可靠的；有责任的
prevail,vi. 盛行，流行；战胜，获胜
prevalent,adj. 流行的；普遍的，广传的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
prospective,"n. 预期；展望
adj. 未来的；预期的"
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
domain,n. 领域；域名；产业；地产
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
elementary,adj. 基本的；初级的； 元素的
cautious,adj. 谨慎的；十分小心的
discreet,adj. 谨慎的；小心的
decisive,adj. 决定性的；果断的，坚定的
implicit,adj. 含蓄的；暗示的；盲从的
conscious,adj. 意识到的；故意的；神志清醒的
passion,n. 激情；热情；酷爱；盛怒
optimistic,adj. 乐观的；乐观主义的
pessimistic,adj. 悲观的，厌世的；悲观主义的
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
contempt,n. 轻视，蔑视；耻辱
despise,vt. 轻视，鄙视
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
indefinite,adj. 不确定的；无限的；模糊的
finite,"n. 有限之物
adj. 有限的；限定的"
seemingly,adv. 看来似乎；表面上看来
gloom,n. 昏暗；阴暗
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
conspicuous,adj. 显著的；显而易见的
ascertain,vt. 确定；查明；探知
assert,vt. 维护，坚持；断言；主张；声称
avert,vt. 避免，防止；转移
rectify,vt. 改正；精馏；整流
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
refute,vt. 反驳，驳斥；驳倒
expel,vt. 驱逐；开除
exclude,vt. 排除；排斥；拒绝接纳；逐出
inclusive,adj. 包括的，包含的
restrict,vt. 限制；约束；限定
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
respective,adj. 分别的，各自的
irrespective,adj. 无关的；不考虑的；不顾的
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
deport,vt. 驱逐出境；举止；放逐
deprive,vt. 使丧失，剥夺
afflict,vt. 折磨；使痛苦；使苦恼
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
jeopardize,vt. 危害；使陷危地；使受危困
jeopardise,vt. 危及（等于jeopardize）；使…受危险
eliminate,vt. 消除；排除
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
emit,vt. 发出，放射；发行；发表
derive,"vt. 源于；得自；获得
vi. 起源"
dispatch,"n. 派遣；急件
vt. 派遣；分派"
despatch,"n. 派遣；发送（等于dispatch）
vt. 派遣；发送；匆匆吃下
vi. 匆匆离开"
deduce,vt. 推论，推断；演绎出
detach,vt. 分离；派遣；使超然
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
refusal,n. 拒绝；优先取舍权；推却；取舍权
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
facility,n. 设施；设备；容易；灵巧
facilitate,vt. 促进；帮助；使容易
furnish,vt. 提供；供应；装备
equip,vt. 装备，配备
induce,vt. 诱导；引起；引诱；感应
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
elicit,vt. 抽出，引出；引起
quota,n. 配额；定额；限额
ratio,n. 比率，比例
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
provoke,vt. 驱使；激怒；煽动；惹起
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
intervene,vi. 干涉；调停；插入
incur,vt. 招致，引发；蒙受
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
explicit,adj. 明确的；清楚的；直率的；详述的
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
subjective,adj. 主观的；个人的；自觉的
empirical,adj. 经验主义的，完全根据经验的；实证的
exceptional,"n. 超常的学生
adj. 异常的，例外的"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
intuition,n. 直觉；直觉力；直觉的知识
perception,n. 知觉； 感觉；看法；洞察力；获取
cognitive,adj. 认知的，认识的
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
decent,adj. 正派的；得体的；相当好的
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
suspicious,adj. 可疑的；怀疑的；多疑的
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
version,n. 版本；译文；倒转术
profound,adj. 深厚的；意义深远的；渊博的
valid,adj. 有效的；有根据的；合法的；正当的
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
solidarity,n. 团结，团结一致
luminous,adj. 发光的；明亮的；清楚的
exotic,adj. 异国的；外来的；异国情调的
gorgeous,adj. 华丽的，灿烂的；极好的
spectacular,adj. 壮观的，惊人的；公开展示的
spacious,adj. 宽敞的，广阔的；无边无际的
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
spontaneous,adj. 自发的；自然的；无意识的
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
instantaneous,adj. 瞬间的；即时的；猝发的
anonymous,adj. 匿名的，无名的；无个性特征的
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
hospitality,n. 好客；殷勤
administration,n. 管理；行政；实施；行政机构
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
oriental,"adj. 东方的；东方人的
n. 东方人"
orientation,n. 方向；定向；适应；情况介绍；向东方
